#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,21.84,0.0,0.0,0.0,0.6180300000000001,-0.15696000000000002,9.84924
5050505,21.84,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.84924
10101010,21.84,0.0,0.0,0.0,0.5886,-0.14715,9.80019
15151515,21.84,0.0,0.0,0.0,0.60822,-0.15696000000000002,9.78057
20202020,21.84,0.0,0.0,0.0,0.6180300000000001,-0.15696000000000002,9.78057
25252525,21.84,0.0,0.0,0.0,0.6180300000000001,-0.16677000000000003,9.888480000000001
30303030,21.84,0.0,0.0,0.0,0.63765,-0.17658,9.83943
35353535,21.84,0.0,0.0,0.0,0.6278400000000001,-0.17658,9.770760000000001
40404040,21.84,0.0,0.0,0.0,0.60822,-0.16677000000000003,9.751140000000001
45454545,21.84,0.0,0.0,0.0,0.59841,-0.18639,9.79038
50505050,21.84,0.0,0.0,0.0,0.60822,-0.15696000000000002,9.87867
55555555,21.84,0.0,0.0,0.0,0.6180300000000001,-0.16677000000000003,9.83943
60606060,21.84,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.770760000000001
65656565,21.84,0.0,0.0,0.0,0.5886,-0.17658,9.751140000000001
70707070,21.84,0.0,0.0,0.0,0.60822,-0.14715,9.81
75757575,21.84,0.0,0.0,0.0,0.59841,-0.15696000000000002,9.84924
80808080,21.84,0.0,0.0,0.0,0.59841,-0.12753,9.84924
85858585,21.84,0.0,0.0,0.0,0.60822,-0.17658,9.78057
90909090,21.84,0.0,0.0,0.0,0.6180300000000001,-0.15696000000000002,9.760950000000001
95959595,21.84,0.0,0.0,0.0,0.60822,-0.16677000000000003,9.79038
101010100,21.84,0.0,0.0,0.0,0.60822,-0.14715,9.82962
106060605,21.84,0.0,0.0,0.0,0.60822,-0.18639,9.85905
111111110,21.84,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.79038
116161615,21.84,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.78057
121212120,21.84,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.80019
126262625,21.84,0.0,0.0,0.0,0.5886,-0.17658,9.81
131313130,21.84,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.83943
136363635,21.84,0.0,0.0,0.0,0.59841,-0.15696000000000002,9.819809999999999
141414140,21.84,0.0,0.0,0.0,0.6180300000000001,-0.14715,9.80019
