Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:06:26.544,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.024, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.544,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.027, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.544,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.023, -0.028, 1.004, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.544,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.032, 1.005, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.575,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.024, -0.032, 1.005, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.575,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.024, -0.03, 1, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.575,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.028, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.575,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.027, -0.031, 1.004, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.636,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.636,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.029, 1, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.636,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.027, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.636,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.350, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.665,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.028, 1.003, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.665,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.027, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.665,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.025, -0.034, 1.003, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.665,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.025, -0.028, 1, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.695,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.026, -0.028, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
 15:06:26.695,c2:22:89:2b:7b:c3, 2015-01-01 00:21:44.205, 0.027, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.502, 56.252, -41.552, -11.074, 22.22, 0.4501, 0.00464, -0.01941, 0.8927,
