#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.81
5050505,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.82962
10101010,22.22,0.0,0.0,0.0,0.59841,-0.15696000000000002,9.80019
15151515,22.22,0.0,0.0,0.0,0.57879,-0.16677000000000003,9.80019
20202020,22.22,0.0,0.0,0.0,0.57879,-0.13734000000000002,9.79038
25252525,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.819809999999999
30303030,22.22,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.81
35353535,22.22,0.0,0.0,0.0,0.5886,-0.17658,9.819809999999999
40404040,22.22,0.0,0.0,0.0,0.5886,-0.13734000000000002,9.80019
45454545,22.22,0.0,0.0,0.0,0.5886,-0.13734000000000002,9.79038
50505050,22.22,0.0,0.0,0.0,0.56898,-0.14715,9.819809999999999
55555555,22.22,0.0,0.0,0.0,0.60822,-0.13734000000000002,9.82962
60606060,22.22,0.0,0.0,0.0,0.5886,-0.13734000000000002,9.819809999999999
65656565,22.22,0.0,0.0,0.0,0.5591700000000001,-0.16677000000000003,9.81
70707070,22.22,0.0,0.0,0.0,0.59841,-0.17658,9.819809999999999
75757575,22.22,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.83943
80808080,22.22,0.0,0.0,0.0,0.60822,-0.14715,9.819809999999999
85858585,22.22,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.819809999999999
90909090,22.22,0.0,0.0,0.0,0.59841,-0.16677000000000003,9.81
95959595,22.22,0.0,0.0,0.0,0.56898,-0.14715,9.80019
101010100,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.81
106060605,22.22,0.0,0.0,0.0,0.59841,-0.17658,9.819809999999999
111111110,22.22,0.0,0.0,0.0,0.59841,-0.13734000000000002,9.81
116161615,22.22,0.0,0.0,0.0,0.59841,-0.12753,9.80019
121212120,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.81
126262625,22.22,0.0,0.0,0.0,0.59841,-0.15696000000000002,9.770760000000001
131313130,22.22,0.0,0.0,0.0,0.56898,-0.14715,9.80019
136363635,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.82962
141414140,22.22,0.0,0.0,0.0,0.59841,-0.12753,9.819809999999999
146464645,22.22,0.0,0.0,0.0,0.59841,-0.15696000000000002,9.81
151515150,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.80019
156565655,22.22,0.0,0.0,0.0,0.5886,-0.17658,9.78057
161616160,22.22,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.819809999999999
166666665,22.22,0.0,0.0,0.0,0.57879,-0.15696000000000002,9.82962
171717170,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.82962
176767675,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.80019
181818180,22.22,0.0,0.0,0.0,0.57879,-0.14715,9.78057
186868685,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.79038
191919190,22.22,0.0,0.0,0.0,0.59841,-0.14715,9.81
196969695,22.22,0.0,0.0,0.0,0.59841,-0.14715,9.819809999999999
202020200,22.22,0.0,0.0,0.0,0.57879,-0.14715,9.81
207070705,22.22,0.0,0.0,0.0,0.57879,-0.13734000000000002,9.81
212121210,22.22,0.0,0.0,0.0,0.57879,-0.17658,9.78057
217171715,22.22,0.0,0.0,0.0,0.60822,-0.16677000000000003,9.819809999999999
222222220,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.83943
227272725,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.81
232323230,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.819809999999999
237373735,22.22,0.0,0.0,0.0,0.56898,-0.16677000000000003,9.81
242424240,22.22,0.0,0.0,0.0,0.57879,-0.17658,9.819809999999999
247474745,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.81
252525250,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.81
257575755,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.78057
262626260,22.22,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.79038
267676765,22.22,0.0,0.0,0.0,0.60822,-0.13734000000000002,9.81
272727270,22.22,0.0,0.0,0.0,0.57879,-0.16677000000000003,9.85905
277777775,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.819809999999999
282828280,22.22,0.0,0.0,0.0,0.57879,-0.17658,9.80019
287878785,22.22,0.0,0.0,0.0,0.60822,-0.13734000000000002,9.80019
292929290,22.22,0.0,0.0,0.0,0.59841,-0.13734000000000002,9.81
297979795,22.22,0.0,0.0,0.0,0.5886,-0.15696000000000002,9.819809999999999
303030300,22.22,0.0,0.0,0.0,0.56898,-0.12753,9.82962
308080805,22.22,0.0,0.0,0.0,0.5886,-0.14715,9.80019
313131310,22.22,0.0,0.0,0.0,0.57879,-0.12753,9.79038
318181815,22.22,0.0,0.0,0.0,0.57879,-0.16677000000000003,9.81
323232320,22.22,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.82962
328282825,22.22,0.0,0.0,0.0,0.5886,-0.16677000000000003,9.81
333333330,22.22,0.0,0.0,0.0,0.57879,-0.14715,9.81
