Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:32:27.662,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.028, 1.002, 0, 0.061, 0, -1.747, -1.653, 126.321, 57.526, -41.944, -13.818, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.662,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.032, -0.032, 1.003, -0.061, -0.061, 0, -1.747, -1.653, 126.321, 57.526, -41.944, -13.818, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.662,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.027, -0.033, 1.003, 0, 0.061, 0, -1.747, -1.653, 126.321, 57.526, -41.944, -13.818, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.662,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.029, -0.029, 1.001, -0.061, -0.183, -0.122, -1.747, -1.653, 126.321, 57.526, -41.944, -13.818, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.693,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.028, 1.001, 0, -0.061, 0, -1.747, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.693,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.031, 1.001, 0, 0, 0, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.693,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.03, -0.031, 1.002, 0, 0.183, 0.061, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.693,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.034, 1.002, -0.061, 0, 0, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.725,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.032, 1.002, 0.122, -0.061, 0, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.725,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.031, -0.029, 1, 0.122, 0.122, 0.122, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.725,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.03, -0.03, 1.001, 0, -0.183, -0.061, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.725,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.028, -0.031, 1.001, -0.122, -0.183, 0, -1.741, -1.659, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45157, 0.00598, -0.02011, 0.89194,
 15:32:27.785,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.027, -0.032, 1, 0, -0.061, 0, -1.741, -1.659, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.785,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.027, -0.028, 1.001, 0, 0, 0.061, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.785,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.031, -0.031, 1.001, 0, -0.061, 0.122, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.786,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.325, 0.03, -0.031, 1.002, 0, 0, 0, -1.741, -1.653, 126.321, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.817,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.029, 1.002, 0.244, 0, 0.061, -1.741, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.817,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.031, 1.002, 0, 0, 0, -1.741, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.817,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.03, 0.999, -0.061, -0.061, 0.061, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.817,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.032, 1.002, 0, 0.122, -0.061, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.848,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.031, -0.03, 1.002, 0, 0.061, 0.122, -1.741, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.848,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.028, 1.003, 0, 0, 0, -1.741, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.848,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.033, 1, 0.061, 0, 0, -1.741, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.848,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.03, 1.002, 0, -0.061, 0, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.912,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.032, 1.003, 0, 0, -0.122, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.912,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.03, 1.003, 0, -0.183, -0.061, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.912,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.031, 1.003, 0, -0.122, -0.061, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.912,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.029, 1.003, 0, -0.122, 0, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.944,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.029, 1.002, 0, 0, 0, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.944,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.03, 0.998, 0, -0.122, 0.061, -1.741, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.944,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.03, 1.002, 0.122, 0, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.944,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.03, 1.001, 0, 0.061, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.975,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.032, 1.001, 0, -0.122, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.975,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.031, 1.002, 0.122, 0, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.975,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.031, -0.03, 1, 0, 0.061, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:27.975,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.027, -0.028, 1.001, 0, -0.061, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.022,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.032, 1.001, 0.122, 0, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.022,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.03, 1.002, 0.061, 0.183, 0, -1.736, -1.653, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.022,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.03, -0.03, 1.001, 0, 0.061, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.022,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.025, -0.033, 1, -0.061, -0.122, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.720, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.054,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.029, -0.029, 1.003, 0.061, 0.122, 0, -1.736, -1.659, 126.326, 57.526, -42.042, -13.622, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
 15:32:28.054,c2:22:89:2b:7b:c3, 2015-01-01 00:47:34.685, 0.028, -0.029, 1.004, 0, 0.122, 0, -1.736, -1.653, 126.326, 57.526, -42.042, -13.622, 22.28, 0.45154, 0.00601, -0.02011, 0.89194,
