Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:14:33.095,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.029, -0.029, 0.999, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.031, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.031, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.186,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.032, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.186,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.027, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.186,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.186,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.217,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.027, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.217,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.028, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.217,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.217,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.277,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.031, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.277,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.028, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.277,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.023, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.277,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.03, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.307,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.032, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.307,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.027, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.307,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.033, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.307,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.337,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.028, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.337,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.033, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.337,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.023, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.337,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.398,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.398,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.023, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.398,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.398,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.027, -0.032, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.427,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.028, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.427,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.427,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.029, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.427,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.023, -0.032, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.457,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.024, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.457,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.029, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.457,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.457,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.517,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.517,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.032, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.517,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.024, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.517,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.547,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.027, -0.029, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.547,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.033, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.547,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.023, -0.029, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.547,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.028, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.576,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.027, -0.033, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.576,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.576,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.029, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.576,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.637,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.024, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.637,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.637,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.027, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.637,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.023, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.667,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.022, -0.027, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.667,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.667,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.027, -0.033, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.667,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.697,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.697,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.027, -0.033, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.697,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.022, -0.032, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.697,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.025, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.757,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.028, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.757,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.757,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.805, 0.026, -0.032, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.662, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
