#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.84924
5050505,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.81
10101010,22.28,0.0,0.0,0.0,-0.32373,-0.24525000000000002,9.83943
15151515,22.28,0.0,0.0,0.0,-0.28449,-0.26487,9.82962
20202020,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.24525000000000002,9.81
25252525,22.28,0.0,0.0,0.0,-0.28449,-0.27468000000000004,9.82962
30303030,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.819809999999999
35353535,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.82962
40404040,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.23544,9.84924
45454545,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.819809999999999
50505050,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.83943
55555555,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.83943
60606060,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.82962
65656565,22.28,0.0,0.0,0.0,-0.2943,-0.26487,9.82962
70707070,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.83943
75757575,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.819809999999999
80808080,22.28,0.0,0.0,0.0,-0.2943,-0.26487,9.84924
85858585,22.28,0.0,0.0,0.0,-0.26487,-0.23544,9.819809999999999
90909090,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.83943
95959595,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.819809999999999
101010100,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.82962
106060605,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.84924
111111110,22.28,0.0,0.0,0.0,-0.32373,-0.26487,9.82962
116161615,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.24525000000000002,9.83943
121212120,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.819809999999999
126262625,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.79038
131313130,22.28,0.0,0.0,0.0,-0.26487,-0.24525000000000002,9.85905
136363635,22.28,0.0,0.0,0.0,-0.32373,-0.25506,9.82962
141414140,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.82962
146464645,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.84924
151515150,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.83943
156565655,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.82962
161616160,22.28,0.0,0.0,0.0,-0.2943,-0.27468000000000004,9.85905
166666665,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.82962
171717170,22.28,0.0,0.0,0.0,-0.33354000000000006,-0.23544,9.819809999999999
176767675,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.20601000000000003,9.83943
181818180,22.28,0.0,0.0,0.0,-0.2943,-0.2943,9.819809999999999
186868685,22.28,0.0,0.0,0.0,-0.28449,-0.28449,9.83943
191919190,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.82962
196969695,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.82962
202020200,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.26487,9.819809999999999
207070705,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.24525000000000002,9.83943
212121210,22.28,0.0,0.0,0.0,-0.32373,-0.24525000000000002,9.819809999999999
217171715,22.28,0.0,0.0,0.0,-0.28449,-0.28449,9.80019
222222220,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.819809999999999
227272725,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.81
232323230,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.84924
237373735,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.819809999999999
242424240,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.24525000000000002,9.81
247474745,22.28,0.0,0.0,0.0,-0.26487,-0.24525000000000002,9.84924
252525250,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.82962
257575755,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.82962
262626260,22.28,0.0,0.0,0.0,-0.2943,-0.26487,9.82962
267676765,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.24525000000000002,9.82962
272727270,22.28,0.0,0.0,0.0,-0.28449,-0.23544,9.819809999999999
277777775,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.819809999999999
282828280,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.84924
287878785,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.25506,9.82962
292929290,22.28,0.0,0.0,0.0,-0.2943,-0.22563,9.819809999999999
297979795,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.81
303030300,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.82962
308080805,22.28,0.0,0.0,0.0,-0.30411,-0.26487,9.82962
313131310,22.28,0.0,0.0,0.0,-0.32373,-0.23544,9.819809999999999
318181815,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.819809999999999
323232320,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.83943
328282825,22.28,0.0,0.0,0.0,-0.32373,-0.25506,9.81
333333330,22.28,0.0,0.0,0.0,-0.2943,-0.22563,9.83943
338383835,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.83943
343434340,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.82962
348484845,22.28,0.0,0.0,0.0,-0.30411,-0.22563,9.819809999999999
353535350,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.819809999999999
358585855,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.26487,9.81
363636360,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.25506,9.84924
368686865,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.819809999999999
373737370,22.28,0.0,0.0,0.0,-0.28449,-0.28449,9.82962
378787875,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.22563,9.83943
383838380,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.83943
388888885,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.83943
393939390,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.819809999999999
398989895,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.82962
404040400,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.819809999999999
409090905,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.84924
414141410,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.82962
419191915,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.83943
424242420,22.28,0.0,0.0,0.0,-0.28449,-0.26487,9.84924
429292925,22.28,0.0,0.0,0.0,-0.32373,-0.24525000000000002,9.819809999999999
434343430,22.28,0.0,0.0,0.0,-0.28449,-0.22563,9.81
439393935,22.28,0.0,0.0,0.0,-0.28449,-0.27468000000000004,9.819809999999999
444444440,22.28,0.0,0.0,0.0,-0.32373,-0.26487,9.82962
449494945,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.83943
454545450,22.28,0.0,0.0,0.0,-0.2943,-0.28449,9.819809999999999
459595955,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.819809999999999
464646460,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.23544,9.819809999999999
469696965,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.83943
474747470,22.28,0.0,0.0,0.0,-0.28449,-0.26487,9.819809999999999
479797975,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.22563,9.819809999999999
484848480,22.28,0.0,0.0,0.0,-0.26487,-0.21582,9.83943
489898985,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.83943
494949490,22.28,0.0,0.0,0.0,-0.32373,-0.26487,9.83943
499999995,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.83943
505050500,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.83943
510101005,22.28,0.0,0.0,0.0,-0.32373,-0.26487,9.82962
515151510,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.21582,9.81
520202015,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.82962
525252520,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.25506,9.81
530303025,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.82962
535353530,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.25506,9.82962
540404035,22.28,0.0,0.0,0.0,-0.28449,-0.22563,9.82962
545454540,22.28,0.0,0.0,0.0,-0.30411,-0.26487,9.83943
550505045,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.83943
555555550,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.82962
560606055,22.28,0.0,0.0,0.0,-0.28449,-0.27468000000000004,9.819809999999999
565656560,22.28,0.0,0.0,0.0,-0.28449,-0.22563,9.82962
570707065,22.28,0.0,0.0,0.0,-0.28449,-0.23544,9.82962
575757570,22.28,0.0,0.0,0.0,-0.2943,-0.28449,9.819809999999999
580808075,22.28,0.0,0.0,0.0,-0.32373,-0.23544,9.819809999999999
585858580,22.28,0.0,0.0,0.0,-0.28449,-0.22563,9.85905
590909085,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.82962
595959590,22.28,0.0,0.0,0.0,-0.32373,-0.26487,9.84924
601010095,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.81
606060600,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.26487,9.82962
611111105,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.82962
616161610,22.28,0.0,0.0,0.0,-0.2943,-0.23544,9.83943
621212115,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.82962
626262620,22.28,0.0,0.0,0.0,-0.30411,-0.26487,9.81
631313125,22.28,0.0,0.0,0.0,-0.33354000000000006,-0.24525000000000002,9.82962
636363630,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.82962
641414135,22.28,0.0,0.0,0.0,-0.30411,-0.28449,9.82962
646464640,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.83943
651515145,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.23544,9.83943
656565650,22.28,0.0,0.0,0.0,-0.2943,-0.24525000000000002,9.82962
661616155,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.82962
666666660,22.28,0.0,0.0,0.0,-0.34335000000000004,-0.24525000000000002,9.83943
671717165,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.22563,9.819809999999999
676767670,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.819809999999999
681818175,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.26487,9.83943
686868680,22.28,0.0,0.0,0.0,-0.30411,-0.21582,9.83943
691919185,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.81
696969690,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.819809999999999
702020195,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.82962
707070700,22.28,0.0,0.0,0.0,-0.24525000000000002,-0.25506,9.84924
712121205,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.81
