#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,22.28,0.0,0.0,0.0,-0.28449,-1.6284600000000002,9.70209
5050505,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.68247
10101010,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.68247
15151515,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.7119
20202020,22.28,0.0,0.0,0.0,-0.26487,-1.6382700000000001,9.69228
25252525,22.28,0.0,0.0,0.0,-0.28449,-1.68732,9.70209
30303030,22.28,0.0,0.0,0.0,-0.28449,-1.6480800000000002,9.72171
35353535,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.69228
40404040,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.69228
45454545,22.28,0.0,0.0,0.0,-0.28449,-1.6382700000000001,9.68247
50505050,22.28,0.0,0.0,0.0,-0.28449,-1.6382700000000001,9.67266
55555555,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.67266
60606060,22.28,0.0,0.0,0.0,-0.30411,-1.6677000000000002,9.72171
65656565,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6382700000000001,9.68247
70707070,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.65304
75757575,22.28,0.0,0.0,0.0,-0.2943,-1.60884,9.70209
80808080,22.28,0.0,0.0,0.0,-0.28449,-1.6186500000000001,9.67266
85858585,22.28,0.0,0.0,0.0,-0.32373,-1.6382700000000001,9.68247
90909090,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.66285
95959595,22.28,0.0,0.0,0.0,-0.28449,-1.6480800000000002,9.72171
101010100,22.28,0.0,0.0,0.0,-0.26487,-1.65789,9.68247
106060605,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.66285
111111110,22.28,0.0,0.0,0.0,-0.32373,-1.6382700000000001,9.69228
116161615,22.28,0.0,0.0,0.0,-0.26487,-1.6480800000000002,9.68247
121212120,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.67266
126262625,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.70209
131313130,22.28,0.0,0.0,0.0,-0.32373,-1.6382700000000001,9.70209
136363635,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.66285
141414140,22.28,0.0,0.0,0.0,-0.28449,-1.6480800000000002,9.68247
146464645,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.66285
151515150,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.68247
156565655,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.67266
161616160,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.70209
166666665,22.28,0.0,0.0,0.0,-0.28449,-1.6775100000000003,9.70209
171717170,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.69228
176767675,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.67266
181818180,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.6480800000000002,9.67266
186868685,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.68247
191919190,22.28,0.0,0.0,0.0,-0.26487,-1.6382700000000001,9.69228
196969695,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.68247
202020200,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.67266
207070705,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.68247
212121210,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.65789,9.68247
217171715,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.68247
222222220,22.28,0.0,0.0,0.0,-0.30411,-1.65789,9.68247
227272725,22.28,0.0,0.0,0.0,-0.2943,-1.65789,9.68247
232323230,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.7119
237373735,22.28,0.0,0.0,0.0,-0.28449,-1.6186500000000001,9.66285
242424240,22.28,0.0,0.0,0.0,-0.32373,-1.6382700000000001,9.67266
247474745,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.70209
252525250,22.28,0.0,0.0,0.0,-0.30411,-1.65789,9.69228
257575755,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6382700000000001,9.67266
262626260,22.28,0.0,0.0,0.0,-0.2943,-1.70694,9.66285
267676765,22.28,0.0,0.0,0.0,-0.30411,-1.65789,9.68247
272727270,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.7119
277777775,22.28,0.0,0.0,0.0,-0.28449,-1.6480800000000002,9.69228
282828280,22.28,0.0,0.0,0.0,-0.30411,-1.6775100000000003,9.69228
287878785,22.28,0.0,0.0,0.0,-0.30411,-1.6186500000000001,9.70209
292929290,22.28,0.0,0.0,0.0,-0.26487,-1.6382700000000001,9.69228
297979795,22.28,0.0,0.0,0.0,-0.30411,-1.6677000000000002,9.67266
303030300,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.68247
308080805,22.28,0.0,0.0,0.0,-0.32373,-1.6382700000000001,9.67266
313131310,22.28,0.0,0.0,0.0,-0.2943,-1.65789,9.70209
318181815,22.28,0.0,0.0,0.0,-0.30411,-1.6677000000000002,9.67266
323232320,22.28,0.0,0.0,0.0,-0.2943,-1.65789,9.70209
328282825,22.28,0.0,0.0,0.0,-0.26487,-1.6480800000000002,9.68247
333333330,22.28,0.0,0.0,0.0,-0.26487,-1.6480800000000002,9.69228
338383835,22.28,0.0,0.0,0.0,-0.30411,-1.65789,9.66285
343434340,22.28,0.0,0.0,0.0,-0.28449,-1.6382700000000001,9.69228
348484845,22.28,0.0,0.0,0.0,-0.26487,-1.6382700000000001,9.68247
353535350,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.65789,9.70209
358585855,22.28,0.0,0.0,0.0,-0.2943,-1.6480800000000002,9.67266
363636360,22.28,0.0,0.0,0.0,-0.32373,-1.6186500000000001,9.72171
368686865,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.65789,9.70209
373737370,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.69228
378787875,22.28,0.0,0.0,0.0,-0.32373,-1.6677000000000002,9.68247
383838380,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6677000000000002,9.68247
388888885,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.67266
393939390,22.28,0.0,0.0,0.0,-0.2943,-1.6677000000000002,9.68247
398989895,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.67266
404040400,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.68247
409090905,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.68247
414141410,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.6186500000000001,9.7119
419191915,22.28,0.0,0.0,0.0,-0.28449,-1.70694,9.68247
424242420,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.69228
429292925,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.67266
434343430,22.28,0.0,0.0,0.0,-0.28449,-1.6480800000000002,9.67266
439393935,22.28,0.0,0.0,0.0,-0.30411,-1.68732,9.69228
444444440,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6284600000000002,9.7119
449494945,22.28,0.0,0.0,0.0,-0.28449,-1.6382700000000001,9.68247
454545450,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.68247
459595955,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.6677000000000002,9.68247
464646460,22.28,0.0,0.0,0.0,-0.28449,-1.6284600000000002,9.70209
469696965,22.28,0.0,0.0,0.0,-0.26487,-1.6677000000000002,9.68247
474747470,22.28,0.0,0.0,0.0,-0.30411,-1.6480800000000002,9.70209
479797975,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6382700000000001,9.68247
484848480,22.28,0.0,0.0,0.0,-0.2943,-1.65789,9.67266
489898985,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.68732,9.7119
494949490,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.6480800000000002,9.70209
499999995,22.28,0.0,0.0,0.0,-0.2943,-1.6480800000000002,9.67266
505050500,22.28,0.0,0.0,0.0,-0.2943,-1.68732,9.68247
510101005,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.7119
515151510,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6382700000000001,9.69228
520202015,22.28,0.0,0.0,0.0,-0.2943,-1.6775100000000003,9.66285
525252520,22.28,0.0,0.0,0.0,-0.28449,-1.65789,9.67266
530303025,22.28,0.0,0.0,0.0,-0.28449,-1.6382700000000001,9.66285
535353530,22.28,0.0,0.0,0.0,-0.28449,-1.6677000000000002,9.67266
540404035,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.65789,9.68247
545454540,22.28,0.0,0.0,0.0,-0.31392000000000003,-1.6186500000000001,9.70209
550505045,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.65789,9.65304
555555550,22.28,0.0,0.0,0.0,-0.2943,-1.68732,9.68247
560606055,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.69228
565656560,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6382700000000001,9.69228
570707065,22.28,0.0,0.0,0.0,-0.30411,-1.68732,9.66285
575757570,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.69228
580808075,22.28,0.0,0.0,0.0,-0.28449,-1.6186500000000001,9.67266
585858580,22.28,0.0,0.0,0.0,-0.25506,-1.6480800000000002,9.69228
590909085,22.28,0.0,0.0,0.0,-0.30411,-1.70694,9.69228
595959590,22.28,0.0,0.0,0.0,-0.2943,-1.6382700000000001,9.70209
601010095,22.28,0.0,0.0,0.0,-0.32373,-1.6480800000000002,9.69228
606060600,22.28,0.0,0.0,0.0,-0.26487,-1.65789,9.66285
611111105,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6480800000000002,9.68247
616161610,22.28,0.0,0.0,0.0,-0.28449,-1.6284600000000002,9.68247
621212115,22.28,0.0,0.0,0.0,-0.27468000000000004,-1.6480800000000002,9.67266
626262620,22.28,0.0,0.0,0.0,-0.26487,-1.6775100000000003,9.67266
631313125,22.28,0.0,0.0,0.0,-0.30411,-1.6382700000000001,9.69228
