#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.760950000000001
5050505,21.9,0.0,0.0,0.0,0.7651800000000001,-0.95157,9.78057
10101010,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.770760000000001
15151515,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.751140000000001
20202020,21.9,0.0,0.0,0.0,0.72594,-0.9319500000000001,9.78057
25252525,21.9,0.0,0.0,0.0,0.75537,-0.9221400000000001,9.78057
30303030,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.78057
35353535,21.9,0.0,0.0,0.0,0.7651800000000001,-0.94176,9.79038
40404040,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9319500000000001,9.78057
45454545,21.9,0.0,0.0,0.0,0.7651800000000001,-0.95157,9.760950000000001
50505050,21.9,0.0,0.0,0.0,0.72594,-0.9613800000000001,9.74133
55555555,21.9,0.0,0.0,0.0,0.7651800000000001,-0.94176,9.79038
60606060,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.78057
65656565,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.770760000000001
70707070,21.9,0.0,0.0,0.0,0.72594,-0.95157,9.74133
75757575,21.9,0.0,0.0,0.0,0.72594,-0.94176,9.760950000000001
80808080,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.770760000000001
85858585,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.81
90909090,21.9,0.0,0.0,0.0,0.73575,-0.9123300000000001,9.78057
95959595,21.9,0.0,0.0,0.0,0.7749900000000001,-0.94176,9.73152
101010100,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.751140000000001
106060605,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.751140000000001
111111110,21.9,0.0,0.0,0.0,0.73575,-0.95157,9.78057
116161615,21.9,0.0,0.0,0.0,0.72594,-0.94176,9.78057
121212120,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.760950000000001
126262625,21.9,0.0,0.0,0.0,0.75537,-0.9123300000000001,9.78057
131313130,21.9,0.0,0.0,0.0,0.72594,-0.9319500000000001,9.760950000000001
136363635,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.770760000000001
141414140,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.751140000000001
146464645,21.9,0.0,0.0,0.0,0.75537,-0.9711900000000001,9.770760000000001
151515150,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.760950000000001
156565655,21.9,0.0,0.0,0.0,0.73575,-0.9221400000000001,9.79038
161616160,21.9,0.0,0.0,0.0,0.75537,-0.90252,9.760950000000001
166666665,21.9,0.0,0.0,0.0,0.71613,-0.9319500000000001,9.770760000000001
171717170,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.74133
176767675,21.9,0.0,0.0,0.0,0.72594,-0.95157,9.79038
181818180,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.78057
186868685,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.760950000000001
191919190,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.751140000000001
196969695,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9319500000000001,9.78057
202020200,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.770760000000001
207070705,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.760950000000001
212121210,21.9,0.0,0.0,0.0,0.71613,-0.9319500000000001,9.770760000000001
217171715,21.9,0.0,0.0,0.0,0.74556,-0.9123300000000001,9.74133
222222220,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.770760000000001
227272725,21.9,0.0,0.0,0.0,0.7749900000000001,-0.94176,9.79038
232323230,21.9,0.0,0.0,0.0,0.74556,-0.9123300000000001,9.78057
237373735,21.9,0.0,0.0,0.0,0.7651800000000001,-0.94176,9.73152
242424240,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.79038
247474745,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.74133
252525250,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9221400000000001,9.78057
257575755,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.770760000000001
262626260,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.73152
267676765,21.9,0.0,0.0,0.0,0.7651800000000001,-0.95157,9.770760000000001
272727270,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.79038
277777775,21.9,0.0,0.0,0.0,0.72594,-0.94176,9.79038
282828280,21.9,0.0,0.0,0.0,0.72594,-0.94176,9.79038
287878785,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.72171
292929290,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.79038
297979795,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.770760000000001
303030300,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.79038
308080805,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.770760000000001
313131310,21.9,0.0,0.0,0.0,0.75537,-0.9123300000000001,9.770760000000001
318181815,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.760950000000001
323232320,21.9,0.0,0.0,0.0,0.73575,-0.95157,9.760950000000001
328282825,21.9,0.0,0.0,0.0,0.72594,-0.9319500000000001,9.80019
333333330,21.9,0.0,0.0,0.0,0.7651800000000001,-0.95157,9.770760000000001
338383835,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.751140000000001
343434340,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.760950000000001
348484845,21.9,0.0,0.0,0.0,0.72594,-0.9221400000000001,9.751140000000001
353535350,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9221400000000001,9.770760000000001
358585855,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.770760000000001
363636360,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.751140000000001
368686865,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.770760000000001
373737370,21.9,0.0,0.0,0.0,0.72594,-0.9319500000000001,9.770760000000001
378787875,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.74133
383838380,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.770760000000001
388888885,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.751140000000001
393939390,21.9,0.0,0.0,0.0,0.73575,-0.95157,9.751140000000001
398989895,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.80019
404040400,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.78057
409090905,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.79038
414141410,21.9,0.0,0.0,0.0,0.75537,-0.9123300000000001,9.760950000000001
419191915,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9319500000000001,9.74133
424242420,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.751140000000001
429292925,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.751140000000001
434343430,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.80019
439393935,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.80019
444444440,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.751140000000001
449494945,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.760950000000001
454545450,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.760950000000001
459595955,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.79038
464646460,21.9,0.0,0.0,0.0,0.73575,-0.95157,9.80019
469696965,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.760950000000001
474747470,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.80019
479797975,21.9,0.0,0.0,0.0,0.75537,-0.9319500000000001,9.760950000000001
484848480,21.9,0.0,0.0,0.0,0.72594,-0.9221400000000001,9.770760000000001
489898985,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.751140000000001
494949490,21.9,0.0,0.0,0.0,0.75537,-0.9613800000000001,9.770760000000001
499999995,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9123300000000001,9.770760000000001
505050500,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.770760000000001
510101005,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9319500000000001,9.79038
515151510,21.9,0.0,0.0,0.0,0.75537,-0.9221400000000001,9.79038
520202015,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.770760000000001
525252520,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.760950000000001
530303025,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.78057
535353530,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.74133
540404035,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.751140000000001
545454540,21.9,0.0,0.0,0.0,0.75537,-0.95157,9.770760000000001
550505045,21.9,0.0,0.0,0.0,0.74556,-0.9123300000000001,9.770760000000001
555555550,21.9,0.0,0.0,0.0,0.73575,-0.95157,9.81
560606055,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9221400000000001,9.751140000000001
565656560,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.80019
570707065,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.770760000000001
575757570,21.9,0.0,0.0,0.0,0.74556,-0.95157,9.74133
580808075,21.9,0.0,0.0,0.0,0.75537,-0.9221400000000001,9.760950000000001
585858580,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.751140000000001
590909085,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.79038
595959590,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.751140000000001
601010095,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9319500000000001,9.770760000000001
606060600,21.9,0.0,0.0,0.0,0.71613,-0.9711900000000001,9.78057
611111105,21.9,0.0,0.0,0.0,0.73575,-0.9221400000000001,9.760950000000001
616161610,21.9,0.0,0.0,0.0,0.75537,-0.94176,9.78057
621212115,21.9,0.0,0.0,0.0,0.74556,-0.94176,9.78057
626262620,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9319500000000001,9.760950000000001
631313125,21.9,0.0,0.0,0.0,0.73575,-0.9221400000000001,9.760950000000001
636363630,21.9,0.0,0.0,0.0,0.73575,-0.9319500000000001,9.78057
641414135,21.9,0.0,0.0,0.0,0.72594,-0.9319500000000001,9.751140000000001
646464640,21.9,0.0,0.0,0.0,0.74556,-0.9319500000000001,9.760950000000001
651515145,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9613800000000001,9.770760000000001
656565650,21.9,0.0,0.0,0.0,0.74556,-0.95157,9.78057
661616155,21.9,0.0,0.0,0.0,0.7651800000000001,-0.9319500000000001,9.770760000000001
666666660,21.9,0.0,0.0,0.0,0.71613,-0.9221400000000001,9.80019
671717165,21.9,0.0,0.0,0.0,0.73575,-0.9123300000000001,9.760950000000001
676767670,21.9,0.0,0.0,0.0,0.73575,-0.94176,9.74133
681818175,21.9,0.0,0.0,0.0,0.7749900000000001,-0.94176,9.760950000000001
686868680,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9319500000000001,9.79038
691919185,21.9,0.0,0.0,0.0,0.7749900000000001,-0.9221400000000001,9.78057
696969690,21.9,0.0,0.0,0.0,0.74556,-0.9221400000000001,9.760950000000001
